,TRUTH,FULL_NEWS,cluster
0,FALSE,Coronavirus was created in a government lab as a bioweapon and then released on the people of China,6
1,FALSE,"The lie that coronavirus came from a bat or a pangolin is concocted by the Chinese state with the tacit support of the U.S. deep state and its friends in the European Union, Russia and Australia, and spread by the docile media in all of those countries",0
2,FALSE,The health experts had predicted the virus could kill 65 million people in a year,19
3,FALSE,"A video clip supposedly showed that the exponential spread of a new coronavirus faster than SARS, Ebola, and Swine Flu",14
4,TRUE,"Almost 200 people in Italy died from the coronavirus in a 24-hour period between March 11 and 12, 2020",15
5,TRUE,"A doctor in Italy warned coronavirus wasn’t just a bad flu. And he said: ""The situation is now nothing short of dramatic. No other words come to mind.""",19
6,FALSE,Chinese doctors confirmed African people are genetically resistant to Coronavirus,0
7,FALSE,"The Centers for Disease Control and Prevention (CDC) announced that COVID-19, a disease caused by the coronavirus, had been found in toilet paper, and that people should use wet cloths instead",15
8,FALSE,"A viral social media post advised the public to ""keep your throat moist"" in order to avoid contracting the respiratory infection",0
9,FALSE,Japanese doctors advice that taking a few sips of water every 15 mins will prevent the new coronavirus from entering your windpipe and lungs,4
10,FALSE,"If you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection",16
11,FALSE,A homemade hand sanitizer made with Tito's Vodka can be used to fight the new coronavirus,4
12,FALSE,Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread,12
13,FALSE,A coronavirus-related health advisory graphic issued by the World Health Organization warned against unprotected sex with farm animals,19
14,FALSE,Gargling with salt water or Vinegar 'eliminate' the COVID-19 coronavirus from the throat of an infected person's system,14
15,FALSE,Drinking boiled garlic water will cure COVID-19,16
16,TRUE,Washing your hands decreases the number of microbes on your hands and helps prevent the spread of infectious diseases,12
17,TRUE,The Chinese government is building a hospital in 10 days to deal with the new coronavirus,8
18,FALSE,"A video shows a chaotic scene in Wuhan, China, involving doctors armed with weapons, gunshots to deter people from leaving a new coronavirus quarantine, and a woman who was shot dead after she attempted to break through a roadblock",7
19,FALSE,"A People's Daily video claiming to show ""full-front disinfection work"" in Wuhan included footage taken at an airport in Taiwan",14
20,FALSE,"Chinese officials are seeking approval to start the mass killing of 20,000 people in order to stop the spread of new coronavirus",4
21,FALSE,"Satellite data show a large release of sulfur dioxide gas from the outskirts of Wuhan, China, and could be viewed as evidence of the mass cremation of new coronavirus victims",7
22,TRUE,The Trump administration fired the U.S. pandemic response team in 2018 to cut costs,2
23,FALSE,U.S. House Speaker Nancy Pelosi held up a coronavirus funding package so that Democrats could run negative ads about Republicans that made the latter look bad,0
24,TRUE,"U.S. federal government will support for free coronavirus testing, paid sick and family leave, and food assistance for poor families",6
